TYPE,CODE,CODE_CPT,gwl,a
SCPT,61758,x,1.8,0.58
SCPT,140262,x,2.7,0.8
SCPT,57364,x,1,0.58
SCPT,125043,x,2.5,0.8
SCPT,57339,x,1.2,0.58
SCPT,57353,x,1,0.58
SCPT,124802,x,9.8,0.8
SCPT,140253,x,2.65,0.8
SCPT,192478,x,10.6,0.8
SCPT,57280,x,1,0.58
SCPT,57359,x,0.6,0.58
SCPT,140250,x,3.3,0.8
SCPT,14543,x,1,0.8
SCPT,14541,x,8.95,0.8
SCPT,195188,x,3.1,0.79
SCPT,57351,x,1.1,0.58
SCPT,94658,x,3.2,0.8
SCPT,136515,x,2,0.8
SCPT,140260,x,2.7,0.8
SCPT,124801,x,7,0.8
SCPT,195941,x,3,0.75
SCPT,57279,x,0.2,0.58
SCPT,57362,x,1.1,0.58
SCPT,57345,x,1.2,0.58
SCPT,57355,x,1,0.58
SCPT,57357,x,1,0.58
SCPT,57356,x,1.1,0.58
SCPT,57358,x,1.6,0.58
SCPT,57360,x,1,0.58
SCPT,57346,x,1.2,0.58
SCPT,57342,x,1,0.58
SCPT,57341,x,1,0.58
SCPT,57365,x,0.8,0.58
SCPT,57354,x,1,0.58
SCPT,57347,x,1,0.58
SCPT,57366,x,2.2,0.58
SCPT,57363,x,3,0.58
SCPT,57349,x,2,0.58
SCPT,57348,x,1,0.58
SCPT,57350,x,2.2,0.58
SCPT,57343,x,2.2,0.58
SCPT,184148,x,1.4,0.75
SCPT,114319,x,1,0.8
SCPT,114322,x,1,0.8
SCPT,156308,x,10.25,0.8
SCPT,156311,x,9.8,0.8
SCPT,156310,x,10.3,0.8
SCPT,156307,x,10.25,0.8
SCPT,14556,x,1.61,0.8
SCPT,140251,x,16.5,0.8
SCPT,14538,x,3.85,0.8
SCPT,154032,x,2.4,0.8
SCPT,217000,x,0,0.8
SCPT,140263,x,6.5,0.8
SCPT,14552,x,1.52,0.8
SCPT,140254,x,2.8,0.8
SCPT,156300,x,0,0.8
SCPT,14651,x,1.33,0.8
SCPT,14526,x,12.53,0.8
SCPT,128450,x,4,0
SCPT,148992,x,2,0.8
SCPT,148998,x,2.1,0.8
SCPT,148999,x,1.7,0.8
SCPT,156298,x,0,0.8
SCPT,140257,x,0,0.8
SCPT,14548,x,10.9,0.8
SCPT,14550,x,18.32,0.8
SCPT,14539,x,8.49,0.8
SCPT,14540,x,3.7,0.8
SCPT,126232,x,4,0
SCPT,165739,x,0.1,0.8
SCPT,156296,x,0,0.8
SCPT,192473,x,3,0.8
SCPT,148995,x,1.7,0.8
SCPT,205817,x,0.39,0.8
SCPT,192465,x,3,0.8
SCPT,192483,x,3,0.8
SCPT,192480,x,4.4,0.8
SCPT,182797,x,0.9,0.8
SCPT,156301,x,3.5,0.8
SCPT,165738,x,0.4,0.8
SCPT,36413,x,1.8,0.8
SCPT,196093,x,3,0.79
SCPT,205818,x,0.38,0.8
SCPT,192457,x,3,0.8
SCPT,192469,x,10.6,0.8
SCPT,154771,x,1,0.75
SCPT,154775,x,0,0.75
SDMT,100703,100699,9.5,0.8
SDMT,66983,66982,1,0.8
SDMT,66984,66982,1,0.8
SDMT,92524,91919,7.8,0.8
SDMT,92525,91920,0,0.8
SDMT,92526,91925,6.1,0.8
SDMT,92527,91926,3.4,0.8
SDMT,92534,91941,2.3,0.8
SDMT,92535,91949,3.2,0.8
SDMT,92536,91950,0,0.8
SDMT,92537,91951,3.4,0.8
SDMT,92538,91952,3.4,0.8
SDMT,92539,91968,2.8,0.8
SDMT,92540,91956,1.8,0.8
SDMT,92541,91956,1.8,0.8
SDMT,92542,91957,5.4,0.8
SDMT,92543,91960,10.4,0.8
SDMT,92544,91971,4.3,0.8
SDMT,92545,91962,4.2,0.8
SDMT,92546,91963,9.7,0.8
SDMT,92547,91964,5.43,0.8
SDMT,92548,91971,4.3,0.8
SDMT,92549,91972,3.2,0.8
SDMT,92554,91980,5.5,0.8
SDMT,92555,91981,0.7,0.8
SDMT,92556,91982,0.7,0.8
SDMT,92557,91983,0.7,0.8
SDMT,122141,121811,0,0.8
SDMT,123178,123151,2.8,0.79
SDMT,123208,123167,1.74,0.8
SDMT,139896,139731,3.5,0.8
SDMT,139897,139730,1.5,0.8
SDMT,141748,141746,1.6,0.8
SDMT,156435,156427,2.5,0.8
SDMT,156436,121825,0,0.8
SDMT,156437,156429,1.9,0.8
SDMT,156438,156430,3.5,0.8
SDMT,167294,126784,0,0.8
SDMT,173187,192322,0,0.8
SDMT,178944,163043,10.7,0.8
SDMT,178947,163107,2.1,0.8
SDMT,183366,185461,0,0.8

